date,tem,srd,vpd,wind,dir
3/19/79,282.1806597,167.9588798,0.578000956,1.360584543,76.30341433
3/20/79,282.8700846,169.617993,0.550221383,1.459475166,241.9986572
3/21/79,282.508833,175.8930913,0.550280488,2.081830883,189.9992065
3/22/79,282.4614472,238.3487761,0.58200286,2.267146443,241.0016174
3/23/79,282.1502174,241.6306729,0.620696901,1.164553426,254.9985199
3/24/79,282.756065,246.0319004,0.719409584,1.020177432,254.0014801
3/25/79,283.6459261,245.0380267,0.797925408,1.504471412,237.0025024
3/26/79,284.8575348,218.4272429,0.792408606,0.971750529,213.0023346
3/27/79,284.2969723,131.0970789,0.612928664,1.919931967,189.9992065
3/28/79,284.1676207,157.3274394,0.561033683,2.039711189,202.0020294
3/29/79,281.6953084,177.6166611,0.491343996,3.279231182,224.9996796
3/30/79,281.903605,249.4142394,0.547448327,1.423873249,228.9987946
3/31/79,282.682171,227.9342601,0.630952474,2.343467472,258.0005798
4/1/79,279.8611066,268.8542294,0.615042875,1.638790519,261.9996948
4/2/79,278.5341168,133.342465,0.532590367,1.065468812,263.9992676
4/3/79,279.9050154,273.2489522,0.623399867,1.463572352,250.9994049
4/4/79,281.8001776,272.3632432,0.771586005,1.616245754,247.9973297
4/5/79,285.7179658,272.2597394,1.002462225,0.745847338,232.9979095
4/6/79,288.2760274,274.4073286,1.163228304,1.203646177,239.9990997
4/7/79,288.5627089,272.3095115,1.176571053,1.430689014,217.9984894
4/8/79,288.854288,276.4225612,1.213680711,0.566991411,252.0019226
4/9/79,288.4392433,260.9720598,1.166984402,2.41406728,243.9982147
4/10/79,283.391895,207.4972803,0.742760998,3.197642537,256.0010376
4/11/79,279.892561,274.972688,0.629841702,2.92964282,269.9979248
4/12/79,281.2631152,273.042912,0.666726715,2.23404017,273
4/13/79,284.3653298,282.7984782,0.935353949,1.458421232,245.0007324
4/14/79,289.1816493,284.2925511,1.261624735,0.827873412,232.0008698
4/15/79,292.3450713,286.7795542,1.543788299,1.027944452,232.0008698
4/16/79,292.9816998,286.5218163,1.619538719,1.399565086,224.9996796
4/17/79,292.4037124,287.2535848,1.577873022,2.650638338,200.0024719
4/18/79,288.4397587,289.1028662,1.168397996,2.902036871,213.0023346
4/19/79,285.1378888,298.2785298,0.967370591,1.62670276,245.9977722
4/20/79,286.7562303,299.204934,1.171508963,0.543699835,276.999115
4/21/79,290.3488669,283.6160837,1.448163806,0.930195923,76.9995575
4/22/79,291.813334,279.8202178,1.522017471,1.265711368,221.9976044
4/23/79,291.9383173,295.985404,1.564780063,2.125496537,213.9993744
4/24/79,291.0153979,270.8142137,1.447349805,2.265686464,224.9996796
4/25/79,289.2282869,270.5380736,1.237586224,1.168585422,252.0019226
4/26/79,290.4143459,164.5044924,1.276600423,0.815511375,273
4/27/79,291.8662393,299.3143609,1.427053485,1.535974058,243.9982147
4/28/79,291.319024,302.8285362,1.417114609,1.25269372,256.0010376
4/29/79,293.4352776,287.9318087,1.650569153,0.948689582,287.0023804
4/30/79,292.6266524,290.6447838,1.565585421,0.818022692,274.9995728
5/1/79,291.0841848,316.2124009,1.511935298,2.071795441,221.9976044
5/2/79,289.6632706,251.8954431,1.271854906,1.491108794,226.9992371
5/3/79,289.0106073,314.4068211,1.196261787,1.432845158,274.002533
5/4/79,290.583569,321.498579,1.448551404,1.189396364,265.00177
5/5/79,293.0335019,321.8717975,1.736533117,2.481774518,230.0013123
5/6/79,291.8413611,325.2368482,1.611557579,3.794117056,228.9987946
5/7/79,288.7416655,281.6193033,1.218576664,3.79581813,234.997467
5/8/79,284.4776245,188.6749348,0.762274332,2.766973498,232.9979095
5/9/79,283.5180199,287.2200721,0.780080921,1.777728468,256.0010376
5/10/79,283.8731367,308.2556228,0.856413099,1.486510575,269.9979248
5/11/79,285.3291993,329.1215806,1.018033198,1.433738112,276.999115
5/12/79,287.875624,334.8202592,1.238040098,1.155390882,315.9987183
5/13/79,291.0237512,334.8766131,1.659343053,0.990740282,256.9980774
5/14/79,294.2442672,335.6775367,1.977703951,0.909550912,250.0023651
5/15/79,296.2482797,280.3268867,2.153406513,0.749719283,302.0018005
5/16/79,295.527675,322.4252765,1.984751134,1.510435139,243.9982147
5/17/79,294.2665516,326.0276333,1.813411942,1.898995563,254.0014801
5/18/79,295.055386,331.8575384,1.999296598,1.785899442,252.9989624
5/19/79,295.7009308,297.3607033,2.023494523,1.076906037,256.9980774
5/20/79,296.2575636,328.4497115,1.93730038,0.938406173,306.0009155
5/21/79,294.7794479,332.4369487,1.842688929,1.485971451,269.9979248
5/22/79,296.3398725,327.3833821,2.220329255,1.560569054,265.00177
5/23/79,297.820832,312.0338845,2.332163489,1.337597508,256.9980774
5/24/79,296.7698539,279.955619,1.925732956,1.263308523,232.9979095
5/25/79,295.0704406,319.449165,1.706697495,0.690298371,311.9996033
5/26/79,294.8990515,247.5237115,1.63202513,1.179500792,232.9979095
5/27/79,295.4197205,327.790538,1.732809179,1.705658,234.0004272
5/28/79,295.6555614,326.6440446,1.811344328,2.577714603,232.9979095
5/29/79,294.7375491,332.8858398,1.803088067,2.309921458,234.0004272
5/30/79,295.1940118,337.5175368,1.911698146,1.799130889,263.0022278
5/31/79,290.0131612,347.5049356,1.483997372,1.806197298,4.999054432
6/1/79,291.8601512,337.5185816,1.745948553,1.739425101,26.00262451
6/2/79,293.4980604,331.1460291,1.847033216,1.443229697,41.00204468
6/3/79,296.1373487,333.6030662,2.103552458,0.915729082,245.0007324
6/4/79,296.6106864,326.7664486,2.282554493,1.095190159,269.000885
6/5/79,296.8019267,336.2364825,2.362175252,1.51447881,287.9994202
6/6/79,297.9600424,334.3017597,2.492318972,2.682247822,260.9971924
6/7/79,296.1496197,334.1535787,2.072720016,2.890095154,241.9986572
6/8/79,289.4645571,243.5910346,1.319788304,1.658889138,343.9979858
6/9/79,288.8179618,345.7429469,1.43975376,1.641252641,330.9981384
6/10/79,293.5479244,342.6040682,1.968516108,0.931455657,54.99894714
6/11/79,297.3673278,339.7482178,2.463933282,0.60848079,239.0020599
6/12/79,300.1932592,338.6754591,2.929756689,0.875114539,237.0025024
6/13/79,301.5500168,338.0427663,3.242442134,1.92536069,217.0014496
6/14/79,301.0678847,332.533702,3.066984072,2.733255071,226.9992371
6/15/79,298.8353433,337.4596087,2.798013091,3.029378413,226.0021973
6/16/79,297.3482248,346.5834033,2.640248637,2.967851891,221.9976044
6/17/79,295.142827,348.8349893,2.31538002,3.675966667,210.0002594
6/18/79,291.356907,343.904061,1.691118466,3.401915884,223.0001221
6/19/79,290.7845973,343.3624119,1.669393276,1.884858972,256.9980774
6/20/79,296.1817776,342.0862412,2.370041218,1.225496551,239.0020599
6/21/79,298.2307224,344.5792083,2.72971607,1.83837305,228.0017548
6/22/79,299.3185311,342.0523232,2.915019761,1.628573962,237.0025024
6/23/79,300.204374,344.0593316,3.093733018,0.896700498,248.9998474
6/24/79,301.6414106,342.0856068,3.357788698,1.24620536,237.9995422
6/25/79,301.6392256,341.6154084,3.436249761,1.905700141,223.0001221
6/26/79,302.4552708,339.5846605,3.56756598,1.917257397,237.0025024
6/27/79,303.5069537,341.0796314,3.787440688,1.627016913,250.9994049
6/28/79,303.5404686,329.4008799,3.751600189,1.531643784,254.9985199
6/29/79,303.7392592,264.742015,3.671956089,1.644936745,247.9973297
6/30/79,302.4349593,318.3195227,3.088909274,2.56193389,239.9990997
7/1/79,300.0928615,310.729992,2.579651016,3.218529672,224.9996796
7/2/79,297.9790578,323.3880397,2.37814271,2.873370781,223.0001221
7/3/79,297.1626652,266.7199859,2.205674546,2.513426339,226.0021973
7/4/79,297.103663,327.8517577,2.374092063,1.939334894,213.9993744
7/5/79,299.1123156,322.3806516,2.63411658,2.254214565,204.9986267
7/6/79,299.4210776,326.063319,2.666764233,2.648530874,219.0010071
7/7/79,300.1419091,330.9107621,2.886952183,2.154358546,228.9987946
7/8/79,300.2775053,321.6023203,3.027478473,2.316777934,230.0013123
7/9/79,302.1080328,327.9364917,3.339424743,1.71606114,245.0007324
7/10/79,302.9634791,328.787668,3.526546529,2.581110313,241.9986572
7/11/79,301.5089165,323.9193133,3.185442538,2.393411651,239.0020599
7/12/79,302.3902368,323.8888654,3.340102645,2.01219663,254.0014801
