date,evap_hs,error
1/1/16,-35.18838911016662,0
1/2/16,0.5231072002204777,0
1/3/16,0.5462107865410293,0
1/4/16,0.3020342522262469,0
1/5/16,-0.19091126527482763,0
1/6/16,-0.5064635327362818,0
1/7/16,-0.5163545260205125,0
1/8/16,-0.0315848274019603,0
1/9/16,0.3181622960686491,0
1/10/16,0.223718583897832,0
1/11/16,0.5804836527826203,0
1/12/16,0.5950551691687926,0
1/13/16,0.5821121222837425,0
1/14/16,0.4971886695851046,0
1/15/16,0.4004733287112799,0
1/16/16,0.25211071796823725,0
1/17/16,0.1498704302144813,0
1/18/16,0.060240789131989304,0
1/19/16,-0.27800387879969707,0
1/20/16,-0.450475220452418,0
1/21/16,0.1980939913480519,0
1/22/16,0.3937127639717728,0
1/23/16,0.32574174534129324,0
1/24/16,0.173138250614165,0
1/25/16,0.5237030193926976,0
1/26/16,0.6633823074011814,0
1/27/16,0.694081704510781,0
1/28/16,0.5170168675111658,0
1/29/16,0.3342049690788085,0
1/30/16,-0.07092553226742114,0
1/31/16,-0.6434090697163789,0
2/1/16,-0.305454927905148,0
2/2/16,1.5808803333135006,0
2/3/16,1.2074964527077319,0
2/4/16,0.9126998138014202,0
2/5/16,0.7480558122946587,0
2/6/16,0.6624712815824494,0
2/7/16,0.6623587315960517,0
2/8/16,0.5201037922719541,0
2/9/16,0.3461821548766826,0
2/10/16,0.24372917067222213,0
2/11/16,0.1935008305572513,0
2/12/16,0.03824073829531095,0
2/13/16,-0.00766106125566427,0
2/14/16,-0.1330514146779776,0
2/15/16,-0.2688522886094338,0
2/16/16,-0.5648505887372389,0
2/17/16,-0.3298347142625602,0
2/18/16,-0.8858647299099386,0
2/19/16,-0.4535250029371702,0
2/20/16,-0.21824562715344398,0
2/21/16,-0.14870327872103195,0
2/22/16,-0.038473143615250165,0
2/23/16,0.9604660162807833,0
2/24/16,0.6866610821967329,0
2/25/16,0.5449681019860781,0
2/26/16,0.3596564398763996,0
2/27/16,0.16330926146278313,0
2/28/16,-0.08417745636412154,0
2/29/16,-0.5480430761937467,0
3/1/16,-0.4096706927724315,0
3/2/16,-0.5437655457696409,0
3/3/16,-0.10522929366239007,0
3/4/16,-0.17937376133618027,0
3/5/16,-0.22498560909549686,0
3/6/16,-1.157119713870162,0
3/7/16,0.6637627999835346,0
3/8/16,0.5494666864818898,0
3/9/16,0.4210953073427986,0
3/10/16,0.21610914405994847,0
3/11/16,0.1048848952253501,0
3/12/16,0.3621797700682943,0
3/13/16,0.2482940334636055,0
3/14/16,0.19395236331446083,0
3/15/16,0.5266133086798913,0
3/16/16,0.8999185016445718,0
3/17/16,1.0258608710985484,0
3/18/16,0.8123292602990582,0
3/19/16,0.6154131446082692,0
3/20/16,0.633099146866537,0
3/21/16,0.28916517751555776,0
3/22/16,0.7809375687912847,0
3/23/16,2.922616652859993,0
3/24/16,1.3830622805053598,0
3/25/16,1.1540134987485782,0
3/26/16,1.7299208990106456,0
3/27/16,1.5209750291796649,0
3/28/16,0.8042561767627054,0
3/29/16,2.178933871780257,0
3/30/16,1.3558650962643684,0
